A Arte da Procrastinacao;1;2;John Perry;qq1@qq.com;m
It, a coisa;2;2;Stephen King;qq2@qq.com;m
Carrie, a estranha;3;2;Stephen King;qq2@qq.com;m
Sob a Redoma;4;2;Stephen King;qq2@qq.com;m
Cemiterio Maldito;5;2;Stephen King;qq2@qq.com;m
A Escolha dos Tres - Torre Negra 2;6;2;Stephen King;qq2@qq.com;m
O Pistoleiro - Torre Negra 1;7;2;Stephen King;qq2@qq.com;m
Terras Devastadas - Torre Negra 3;8;2;Stephen King;qq2@qq.com;m
O Mago e o Vidro - Torre Negra 4;9;2;Stephen King;qq2@qq.com;m
Lobos de Calla - Torre Negra 5;10;2;Stephen King;qq2@qq.com;m
A Danca da Morte;11;2;Stephen King;qq2@qq.com;m
Sombras da Noite;12;2;Stephen King;qq2@qq.com;m
A Fascinante Construcao do Eu;13;2;Augusto Cury;qq3@qq.com;m
Blink;14;2;Malcolm Gladwell;qq4@qq.com;m
Scrum, Gestao Agil;15;2;Rafael Sabbagh;qq5@qq.com;m
The Gift of Fear;16;2;Gavin de Becker;qq6@qq.com;m
Fun Retrospectives;17;2;Paulo Caroli;qq7@qq.com;m
O Sorriso da Hiena;18;2;Gustavo Avila;qq8@qq.com;m
Mundo de Sofia;19;2;Jostein Gaarder;qq9@qq.com;m
A Cabana;20;2;Willian Young;qq10@qq.com;m
O Hobbit;21;2;JR Tolkien;qq11@qq.com;m
Sociedade do Anel;22;2;JR Tolkien;qq11@qq.com;m
As Duas Torres;23;2;JR Tolkien;qq11@qq.com;m
Torre Negra;24;2;Stephen King;qq2@qq.com;m
